namespace,clustername,workspace,mgmtcluster
awx-qa,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
cdmplatform,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
crp-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
cvis-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
feeds,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
fm-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
ft-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
ppi-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
sso,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
sso-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
tp-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
trueid-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
monitor-zabbix,e2dev-tanzu-cs-tkc,dev-tanzu-monitor,e2open-dev-tanzu
feeds-es-qa,e2dev-tanzu-rdm-devqa-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-es-qa,e2dev-tanzu-rdm-devqa-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-qa,e2dev-tanzu-rdm-devqa-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-devint,e2dev-tanzu-rdm-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-es-devint,e2dev-tanzu-rdm-tkc,dev-rdm-qa,e2open-dev-tanzu
monitor-zabbix,e2dev-tanzu-rdm-tkc,dev-tanzu-monitor,e2open-dev-tanzu
e2flow-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
feeds-es-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
rdm-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
rdm-es-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
awx,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
awx-qa,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
cdmplatform,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
crp,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
crp-dev,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
cvis,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
cvis-dev,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
dealreg,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
feeds,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
fm-dev,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
catx,sv4-dev-ci,catx,e2open-dev-tanzu
ci,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-buildenv,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-cdm,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-helm,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-productqa,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-projectdev,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-psr,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
devops-test,sv4-dev-devtools,dev-demo-tkc,e2open-dev-tanzu
artifactory,sv4-dev-devtools,dev-tanzu-ci,e2open-dev-tanzu
jenkins,sv4-dev-devtools,dev-tanzu-ci,e2open-dev-tanzu
trivy,sv4-dev-devtools,dev-tanzu-ci,e2open-dev-tanzu
e2net-artemis,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-dev421,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-es,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-kosh,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-zk,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2netpsr,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-es-psr,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
e2net-kosh-psr,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
watermill-client,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
watermill-client-dev,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
watermill-client1,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
e2proxy,sv4-dev-e2proxy,sv4-dev-e2proxy,e2open-dev-tanzu
cargoscreening-dev,sv4-dev-gtm,dev-cargoscreening-devteam,e2open-dev-tanzu
import,sv4-dev-gtm,sv4-dev-gtm,e2open-dev-tanzu
e2net-dai,sv4-dev-rnd-sandbox,sv4-dev-rnd-sandbox,e2open-dev-tanzu
catx,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
discussion-service,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
e2search-zk,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
feeds-es-dev,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
feeds-es-qa,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
kosh,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
kosh-psr,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
ocular,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-dev,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-devint,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-es-dev,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-es-devint,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-es-qa,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-qa,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
temporal,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
watermill,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
watermill-2nd,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
watermill-3rd,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
watermill-playground,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
wm-dev,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
wm-psr,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
e2net-es,fr8-stg-e2net,fr8-stg-e2net,e2open-fr8-stg-tanzu
e2net-kosh,fr8-stg-e2net,fr8-stg-e2net,e2open-fr8-stg-tanzu
e2net-zk,fr8-stg-e2net,fr8-stg-e2net,e2open-fr8-stg-tanzu
feeds-es-uat,fr8-stg-sharedservices,fr8-stg-sharedservices,e2open-fr8-stg-tanzu
kosh,fr8-stg-sharedservices,fr8-stg-sharedservices,e2open-fr8-stg-tanzu
watermill,fr8-stg-sharedservices,fr8-stg-sharedservices,e2open-fr8-stg-tanzu
ci-apps,stg-fra-ci-apps-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
e2proxy,stg-fra-e2proxy-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
e2proxy,stg-fra-e2proxy-walkme-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
e2proxy-walkme,stg-fra-e2proxy-walkme-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
cargoscreening-stg,stg-cargoscreening-tkc,stg-cargoscreening-devteam,e2stg-tanzu
awx-demo,stg-cdm-awx-tkc,stg-cs-rndteam,e2stg-tanzu
awx-staging,stg-cdm-awx-tkc,stg-cs-rndteam,e2stg-tanzu
crp,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
cvis,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
cvissb,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
feeds,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
ppi,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
sso,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
trueid,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
ingress-nginx,stg-shared-service-tkc,stg-shared-service,e2stg-tanzu
stg-shared-service-access,stg-shared-service-tkc,stg-shared-service,e2stg-tanzu
watermill,stg-shared-service-tkc,watermill-stg-dev-team,e2stg-tanzu
ci-apps,stg-tanzu-ci-apps-tkc,stg-tanzu-ci,e2stg-tanzu
k8sinframonitor,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
k8sservicemonitor,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
monitor-log-testbench,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
monitor-logging,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
monitor-observability-testbench,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
k8smonitor,stg-tanzu-ci-apps-tkc,stg-tanzu-monitor,e2stg-tanzu
monitor-zabbix,stg-tanzu-ci-apps-tkc,stg-tanzu-monitor,e2stg-tanzu
watermill,stg-tanzu-ci-apps-tkc,watermill-stg-dev-team,e2stg-tanzu
e2proxy,stg-tanzu-e2proxy-tkc,stg-tanzu-ci,e2stg-tanzu
k8sinframonitor,stg-tanzu-e2proxy-tkc,stg-tanzu-e2proxy-tkc-cloudoperation,e2stg-tanzu
k8sservicemonitor,stg-tanzu-e2proxy-tkc,stg-tanzu-e2proxy-tkc-cloudoperation,e2stg-tanzu
monitor-log-testbench,stg-tanzu-e2proxy-tkc,stg-tanzu-e2proxy-tkc-cloudoperation,e2stg-tanzu
monitor-logging,stg-tanzu-e2proxy-tkc,stg-tanzu-e2proxy-tkc-cloudoperation,e2stg-tanzu
monitor-observability-testbench,stg-tanzu-e2proxy-tkc,stg-tanzu-e2proxy-tkc-cloudoperation,e2stg-tanzu
k8smonitor,stg-tanzu-e2proxy-tkc,stg-tanzu-monitor,e2stg-tanzu
monitor-zabbix,stg-tanzu-e2proxy-tkc,stg-tanzu-monitor,e2stg-tanzu
e2proxy,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-ci,e2stg-tanzu
k8sinframonitor,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-e2proxy-walkme-tkc-cloudoperation,e2stg-tanzu
k8sservicemonitor,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-e2proxy-walkme-tkc-cloudoperation,e2stg-tanzu
monitor-log-testbench,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-e2proxy-walkme-tkc-cloudoperation,e2stg-tanzu
monitor-logging,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-e2proxy-walkme-tkc-cloudoperation,e2stg-tanzu
monitor-observability-testbench,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-e2proxy-walkme-tkc-cloudoperation,e2stg-tanzu
k8smonitor,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-monitor,e2stg-tanzu
monitor-zabbix,stg-tanzu-e2proxy-walkme-tkc,stg-tanzu-monitor,e2stg-tanzu
feeds-es-sb,stg-tanzu-rdm-sb-tkc,stg-rdm-sb,e2stg-tanzu
rdm-es-sb,stg-tanzu-rdm-sb-tkc,stg-rdm-sb,e2stg-tanzu
rdm-sb,stg-tanzu-rdm-sb-tkc,stg-rdm-sb,e2stg-tanzu
feeds-es-uat,stg-tanzu-rdm-uat-tkc,stg-rdm-uat,e2stg-tanzu
rdm-es-uat,stg-tanzu-rdm-uat-tkc,stg-rdm-uat,e2stg-tanzu
rdm-uat,stg-tanzu-rdm-uat-tkc,stg-rdm-uat,e2stg-tanzu
rdm-es-prod,sv4-dr-rdm,rdm-dr,e2stg-tanzu
rdm-prod,sv4-dr-rdm,rdm-dr,e2stg-tanzu
e2net-es,sv4-stg-e2net,stg-e2net,e2stg-tanzu
e2net-kosh,sv4-stg-e2net,stg-e2net,e2stg-tanzu
e2net-zk,sv4-stg-e2net,stg-e2net,e2stg-tanzu
cargoscreening-stg,sv4-stg-gtm,sv4-stg-gtm,e2stg-tanzu
e2search-zk,sv4-stg-sharedservices,sv4-stg-sharedservices,e2stg-tanzu
kosh,sv4-stg-sharedservices,sv4-stg-sharedservices,e2stg-tanzu
kosh-e2net-cisco,sv4-stg-sharedservices,sv4-stg-sharedservices,e2stg-tanzu
e2net-es,fr8-prod-e2net,fr8-prod-e2net,fr8-prod-tanzu
e2net-kosh,fr8-prod-e2net,fr8-prod-e2net,fr8-prod-tanzu
e2net-zk,fr8-prod-e2net,fr8-prod-e2net,fr8-prod-tanzu
feeds-es-prod,fr8-prod-sharedservices,fr8-prod-sharedservices,fr8-prod-tanzu
kosh,fr8-prod-sharedservices,fr8-prod-sharedservices,fr8-prod-tanzu
kosh-e2net,fr8-prod-sharedservices,fr8-prod-sharedservices,fr8-prod-tanzu
ci-apps,fra-prod-ci-apps-tkc,prod-fra-ci-developer,fr8-prod-tanzu
infosec-fwdproxy,fra-prod-ci-apps-tkc,prod-fra-ci-infosec,fr8-prod-tanzu
e2proxy,fra-prod-e2proxy-tkc,prod-fra-ci-developer,fr8-prod-tanzu
e2proxy,fra-prod-e2proxy-walkme-tkc,prod-fra-ci-developer,fr8-prod-tanzu
temporal,fra-prod-sharedservices-tkc,fr8-prod-temporal,fr8-prod-tanzu
ocular,fra-prod-sharedservices-tkc,fra-prod-sharedservices,fr8-prod-tanzu
watermill,fra-prod-sharedservices-tkc,fra-prod-sharedservices,fr8-prod-tanzu
ci-prod,sha-prod-ci-apps-tkc,sha-prod-ci-apps-tkc-cloudoperation,sha-tanzu
e2proxy,sha-prod-e2proxy-tkc,sha-e2proxy,sha-tanzu
kosh,sha-prod-sharedservices,sha-prod-sharedservices,sha-tanzu
watermill,sjc-prod-sharedservices,watermill,sjca-prod-tanzu-k8s
ci-prod,sjca-prod-ci-apps-tkc,sjca-prod-ci-apps-tkc-ci-developer,sjca-prod-tanzu-k8s
monitor-log-testbench,sjca-prod-ci-apps-tkc,sjca-prod-ci-apps-tkc-cloudoperation,sjca-prod-tanzu-k8s
monitor-logging,sjca-prod-ci-apps-tkc,sjca-prod-ci-apps-tkc-cloudoperation,sjca-prod-tanzu-k8s
k8smonitor,sjca-prod-ci-apps-tkc,sjca-tanzu-monitor,sjca-prod-tanzu-k8s
monitor-zabbix,sjca-prod-ci-apps-tkc,sjca-tanzu-monitor,sjca-prod-tanzu-k8s
e2proxy,sjca-prod-e2proxy-tkc,sjca-prod-ci-apps-tkc-ci-developer,sjca-prod-tanzu-k8s
monitor-log-testbench,sjca-prod-e2proxy-tkc,sjca-prod-e2proxy-tkc-cloudoperation,sjca-prod-tanzu-k8s
monitor-logging,sjca-prod-e2proxy-tkc,sjca-prod-e2proxy-tkc-cloudoperation,sjca-prod-tanzu-k8s
k8smonitor,sjca-prod-e2proxy-tkc,sjca-tanzu-monitor,sjca-prod-tanzu-k8s
monitor-zabbix,sjca-prod-e2proxy-tkc,sjca-tanzu-monitor,sjca-prod-tanzu-k8s
e2net-es,sv1-prod-e2net,sv1-prod-e2net,sjca-prod-tanzu-k8s
e2net-kosh,sv1-prod-e2net,sv1-prod-e2net,sjca-prod-tanzu-k8s
e2net-zk,sv1-prod-e2net,sv1-prod-e2net,sjca-prod-tanzu-k8s
e2search-zk,sv1-prod-sharedservices,sv1-prod-sharedservices,sjca-prod-tanzu-k8s
kosh,sv1-prod-sharedservices,sv1-prod-sharedservices,sjca-prod-tanzu-k8s
kosh-e2net,sv1-prod-sharedservices,sv1-prod-sharedservices,sjca-prod-tanzu-k8s
kosh-e2net-cisco,sv1-prod-sharedservices,sv1-prod-sharedservices,sjca-prod-tanzu-k8s
